spatial,temporal,interest,observation,reference
Total.Total,2016,Total.Total.U,0.0008148952087543,100k
Total.Total,2020,Total.Total.U,156.3271197762281,100k
Total.Total,2021,Total.Total.U,184.97828051464543,100k
Total.Total,2022,Total.Total.U,29.55386248501326,100k
Total.Total,2016,Hombres.Total.U,0.0016641636535874,100k
Total.Total,2020,Hombres.Total.U,205.33782119206504,100k
Total.Total,2020,Mujeres.Total.U,109.3129500406748,100k
Total.Total,2021,Hombres.Total.U,229.6447603225752,100k
Total.Total,2021,Mujeres.Total.U,142.1395715655844,100k
Total.Total,2022,Hombres.Total.U,36.446838618268856,100k
Total.Total,2022,Mujeres.Total.U,22.94447099294821,100k
Total.Total,2020,Total.>65.U,81.082,100k
Total.Total,2021,Total.>65.U,94.873,100k
Total.Total,2022,Total.>65.U,19.533,100k
Total.Total,2020,Total.45_64.U,65.237,100k
Total.Total,2021,Total.45_64.U,70.675,100k
Total.Total,2022,Total.45_64.U,7.567,100k
Total.Total,2020,Total.25_44.U,13.914,100k
Total.Total,2021,Total.25_44.U,20.189,100k
Total.Total,2022,Total.25_44.U,1.841,100k
Total.Total,2016,Total.15_24.U,0.001,100k
Total.Total,2020,Total.15_24.U,0.702,100k
Total.Total,2021,Total.15_24.U,1.12,100k
Total.Total,2022,Total.15_24.U,0.263,100k
Total.Total,2020,Total.05_14.U,0.116,100k
Total.Total,2021,Total.05_14.U,0.157,100k
Total.Total,2022,Total.05_14.U,0.109,100k
Total.Total,2020,Total.00_04.U,0.261,100k
Total.Total,2021,Total.00_04.U,0.249,100k
Total.Total,2022,Total.00_04.U,0.21,100k
Total.Total,2020,Hombres.>65.U07,110.278,100k
Total.Total,2020,Mujeres.>65.U07,57.076,100k
Total.Total,2020,Hombres.>65.U10,0.002,100k
Total.Total,2021,Hombres.>65.U07,123.11,100k
Total.Total,2021,Mujeres.>65.U07,71.59,100k
Total.Total,2021,Hombres.>65.U10,0.052,100k
Total.Total,2021,Mujeres.>65.U10,0.035,100k
Total.Total,2021,Hombres.>65.U12,0.011,100k
Total.Total,2021,Mujeres.>65.U12,0.001,100k
Total.Total,2022,Hombres.>65.U07,26.257,100k
Total.Total,2022,Mujeres.>65.U07,14.004,100k
Total.Total,2022,Hombres.>65.U10,0.009,100k
Total.Total,2022,Mujeres.>65.U10,0.004,100k
Total.Total,2020,Hombres.45_64.U07,91.205,100k
Total.Total,2020,Mujeres.45_64.U07,41.801,100k
Total.Total,2020,Hombres.45_64.U10,0.003,100k
Total.Total,2020,Mujeres.45_64.U10,0.004,100k
Total.Total,2021,Hombres.45_64.U07,92.048,100k
Total.Total,2021,Mujeres.45_64.U07,51.427,100k
Total.Total,2021,Hombres.45_64.U10,0.032,100k
Total.Total,2021,Mujeres.45_64.U10,0.01,100k
Total.Total,2021,Hombres.45_64.U12,0.002,100k
Total.Total,2022,Hombres.45_64.U07,9.574,100k
Total.Total,2022,Mujeres.45_64.U07,5.765,100k
Total.Total,2022,Hombres.45_64.U10,0.003,100k
Total.Total,2022,Mujeres.45_64.U10,0.004,100k
Total.Total,2020,Hombres.25_44.U07,20.482,100k
Total.Total,2020,Mujeres.25_44.U07,7.767,100k
Total.Total,2021,Hombres.25_44.U07,28.194,100k
Total.Total,2021,Mujeres.25_44.U07,12.643,100k
Total.Total,2021,Hombres.25_44.U10,0.014,100k
Total.Total,2021,Mujeres.25_44.U10,0.003,100k
Total.Total,2021,Hombres.25_44.U12,0.002,100k
Total.Total,2022,Hombres.25_44.U07,2.342,100k
Total.Total,2022,Mujeres.25_44.U07,1.368,100k
Total.Total,2016,Hombres.15_24.U06,0.002,100k
Total.Total,2020,Hombres.15_24.U07,0.818,100k
Total.Total,2020,Mujeres.15_24.U07,0.581,100k
Total.Total,2020,Mujeres.15_24.U10,0.002,100k
Total.Total,2021,Hombres.15_24.U07,1.297,100k
Total.Total,2021,Mujeres.15_24.U07,0.936,100k
Total.Total,2021,Hombres.15_24.U10,0.002,100k
Total.Total,2022,Hombres.15_24.U07,0.286,100k
Total.Total,2022,Mujeres.15_24.U07,0.239,100k
Total.Total,2020,Hombres.05_14.U07,0.132,100k
Total.Total,2020,Mujeres.05_14.U07,0.099,100k
Total.Total,2021,Hombres.05_14.U07,0.151,100k
Total.Total,2021,Mujeres.05_14.U07,0.159,100k
Total.Total,2021,Hombres.05_14.U10,0.002,100k
Total.Total,2021,Mujeres.05_14.U10,0.003,100k
Total.Total,2022,Hombres.05_14.U07,0.119,100k
Total.Total,2022,Mujeres.05_14.U07,0.098,100k
Total.Total,2022,Hombres.05_14.U10,0.002,100k
Total.Total,2020,Hombres.00_04.U07,0.28,100k
Total.Total,2020,Mujeres.00_04.U07,0.242,100k
Total.Total,2021,Hombres.00_04.U07,0.271,100k
Total.Total,2021,Mujeres.00_04.U07,0.227,100k
Total.Total,2022,Hombres.00_04.U07,0.214,100k
Total.Total,2022,Mujeres.00_04.U07,0.205,100k
Total.Total,2016,Total.Total.U06,0.0008148952087543,100k
Total.Total,2020,Total.Total.U07,156.32164213730397,100k
Total.Total,2020,Total.Total.U10,0.0054776389241522,100k
Total.Total,2021,Total.Total.U07,184.897643131336,100k
Total.Total,2021,Total.Total.U10,0.0736591482153795,100k
Total.Total,2021,Total.Total.U12,0.0069782350940885,100k
Total.Total,2022,Total.Total.U07,29.54310304996476,100k
Total.Total,2022,Total.Total.U10,0.010759435048503,100k
Total.Total,2016,Hombres.Total.U06,0.0016641636535874,100k
Total.Total,2020,Hombres.Total.U07,205.33302638012827,100k
Total.Total,2020,Mujeres.Total.U07,109.30681739084572,100k
Total.Total,2020,Hombres.Total.U10,0.0047948119367674,100k
Total.Total,2020,Mujeres.Total.U10,0.0061326498290677,100k
Total.Total,2021,Hombres.Total.U07,229.5370618777772,100k
Total.Total,2021,Mujeres.Total.U07,142.0848878939161,100k
Total.Total,2021,Hombres.Total.U10,0.0950280395276732,100k
Total.Total,2021,Mujeres.Total.U10,0.0531646807886236,100k
Total.Total,2021,Hombres.Total.U12,0.0126704052703564,100k
Total.Total,2021,Mujeres.Total.U12,0.0015189908796749,100k
Total.Total,2022,Hombres.Total.U07,36.43427832237215,100k
Total.Total,2022,Mujeres.Total.U07,22.93543832934624,100k
Total.Total,2022,Hombres.Total.U10,0.0125602958967067,100k
Total.Total,2022,Mujeres.Total.U10,0.0090326636019742,100k
Total.Total,2020,Total.>65.U07,81.081,100k
Total.Total,2020,Total.>65.U10,0.001,100k
Total.Total,2021,Total.>65.U07,94.824,100k
Total.Total,2021,Total.>65.U10,0.043,100k
Total.Total,2021,Total.>65.U12,0.006,100k
Total.Total,2022,Total.>65.U07,19.527,100k
Total.Total,2022,Total.>65.U10,0.006,100k
Total.Total,2020,Total.45_64.U07,65.233,100k
Total.Total,2020,Total.45_64.U10,0.004,100k
Total.Total,2021,Total.45_64.U07,70.654,100k
Total.Total,2021,Total.45_64.U10,0.021,100k
Total.Total,2021,Total.45_64.U12,0.001,100k
Total.Total,2022,Total.45_64.U07,7.564,100k
Total.Total,2022,Total.45_64.U10,0.004,100k
Total.Total,2020,Total.25_44.U07,13.914,100k
Total.Total,2021,Total.25_44.U07,20.18,100k
Total.Total,2021,Total.25_44.U10,0.008,100k
Total.Total,2021,Total.25_44.U12,0.001,100k
Total.Total,2022,Total.25_44.U07,1.841,100k
Total.Total,2016,Total.15_24.U06,0.001,100k
Total.Total,2020,Total.15_24.U07,0.701,100k
Total.Total,2020,Total.15_24.U10,0.001,100k
Total.Total,2021,Total.15_24.U07,1.119,100k
Total.Total,2021,Total.15_24.U10,0.001,100k
Total.Total,2022,Total.15_24.U07,0.263,100k
Total.Total,2020,Total.05_14.U07,0.116,100k
Total.Total,2021,Total.05_14.U07,0.155,100k
Total.Total,2021,Total.05_14.U10,0.002,100k
Total.Total,2022,Total.05_14.U07,0.108,100k
Total.Total,2022,Total.05_14.U10,0.001,100k
Total.Total,2020,Total.00_04.U07,0.261,100k
Total.Total,2021,Total.00_04.U07,0.249,100k
Total.Total,2022,Total.00_04.U07,0.21,100k
Total.Total,2016,Total.Total.U069,0.0008148952087543,100k
Total.Total,2020,Total.Total.U071,114.631332285581,100k
Total.Total,2020,Total.Total.U072,41.69030985172297,100k
Total.Total,2020,Total.Total.U109,0.0054776389241522,100k
Total.Total,2021,Total.Total.U071,138.3357571457573,100k
Total.Total,2021,Total.Total.U072,46.56188598557867,100k
Total.Total,2021,Total.Total.U109,0.0736591482153795,100k
Total.Total,2021,Total.Total.U129,0.0069782350940885,100k
Total.Total,2022,Total.Total.U071,24.584540554754625,100k
Total.Total,2022,Total.Total.U072,4.95856249521013,100k
Total.Total,2022,Total.Total.U109,0.010759435048503,100k
Total.Total,2016,Hombres.Total.U069,0.0016641636535874,100k
Total.Total,2020,Hombres.Total.U071,149.39994686709065,100k
Total.Total,2020,Mujeres.Total.U071,81.27907450954899,100k
Total.Total,2020,Hombres.Total.U072,55.93307951303762,100k
Total.Total,2020,Mujeres.Total.U072,28.02774288129673,100k
Total.Total,2020,Hombres.Total.U109,0.0047948119367674,100k
Total.Total,2020,Mujeres.Total.U109,0.0061326498290677,100k
Total.Total,2021,Hombres.Total.U071,170.38369107245936,100k
Total.Total,2021,Mujeres.Total.U071,107.5992379526555,100k
Total.Total,2021,Hombres.Total.U072,59.15337080531781,100k
Total.Total,2021,Mujeres.Total.U072,34.48564994126062,100k
Total.Total,2021,Hombres.Total.U109,0.0950280395276732,100k
Total.Total,2021,Mujeres.Total.U109,0.0531646807886236,100k
Total.Total,2021,Hombres.Total.U129,0.0126704052703564,100k
Total.Total,2021,Mujeres.Total.U129,0.0015189908796749,100k
Total.Total,2022,Hombres.Total.U071,30.10074911645776,100k
Total.Total,2022,Mujeres.Total.U071,19.295274897750623,100k
Total.Total,2022,Hombres.Total.U072,6.3335292059143855,100k
Total.Total,2022,Mujeres.Total.U072,3.640163431595616,100k
Total.Total,2022,Hombres.Total.U109,0.0125602958967067,100k
Total.Total,2022,Mujeres.Total.U109,0.0090326636019742,100k
Total.Total,2020,Total.>65.U071,59.324,100k
Total.Total,2020,Total.>65.U072,21.757,100k
Total.Total,2020,Total.>65.U109,0.001,100k
Total.Total,2021,Total.>65.U071,69.112,100k
Total.Total,2021,Total.>65.U072,25.712,100k
Total.Total,2021,Total.>65.U109,0.043,100k
Total.Total,2021,Total.>65.U129,0.006,100k
Total.Total,2022,Total.>65.U071,16.116,100k
Total.Total,2022,Total.>65.U072,3.411,100k
Total.Total,2022,Total.>65.U109,0.006,100k
Total.Total,2020,Total.45_64.U071,48.311,100k
Total.Total,2020,Total.45_64.U072,16.922,100k
Total.Total,2020,Total.45_64.U109,0.004,100k
Total.Total,2021,Total.45_64.U071,54.052,100k
Total.Total,2021,Total.45_64.U072,16.602,100k
Total.Total,2021,Total.45_64.U109,0.021,100k
Total.Total,2021,Total.45_64.U129,0.001,100k
Total.Total,2022,Total.45_64.U071,6.42,100k
Total.Total,2022,Total.45_64.U072,1.144,100k
Total.Total,2022,Total.45_64.U109,0.004,100k
Total.Total,2020,Total.25_44.U071,9.901,100k
Total.Total,2020,Total.25_44.U072,4.013,100k
Total.Total,2021,Total.25_44.U071,15.588,100k
Total.Total,2021,Total.25_44.U072,4.592,100k
Total.Total,2021,Total.25_44.U109,0.008,100k
Total.Total,2021,Total.25_44.U129,0.001,100k
Total.Total,2022,Total.25_44.U071,1.539,100k
Total.Total,2022,Total.25_44.U072,0.302,100k
Total.Total,2016,Total.15_24.U069,0.001,100k
Total.Total,2020,Total.15_24.U071,0.477,100k
Total.Total,2020,Total.15_24.U072,0.224,100k
Total.Total,2020,Total.15_24.U109,0.001,100k
Total.Total,2021,Total.15_24.U071,0.886,100k
Total.Total,2021,Total.15_24.U072,0.232,100k
Total.Total,2021,Total.15_24.U109,0.001,100k
Total.Total,2022,Total.15_24.U071,0.219,100k
Total.Total,2022,Total.15_24.U072,0.044,100k
Total.Total,2020,Total.05_14.U071,0.087,100k
Total.Total,2020,Total.05_14.U072,0.028,100k
Total.Total,2021,Total.05_14.U071,0.124,100k
Total.Total,2021,Total.05_14.U072,0.031,100k
Total.Total,2021,Total.05_14.U109,0.002,100k
Total.Total,2022,Total.05_14.U071,0.094,100k
Total.Total,2022,Total.05_14.U072,0.014,100k
Total.Total,2022,Total.05_14.U109,0.001,100k
Total.Total,2020,Total.00_04.U071,0.195,100k
Total.Total,2020,Total.00_04.U072,0.066,100k
Total.Total,2021,Total.00_04.U071,0.196,100k
Total.Total,2021,Total.00_04.U072,0.054,100k
Total.Total,2022,Total.00_04.U071,0.189,100k
Total.Total,2022,Total.00_04.U072,0.021,100k
Total.Total,2020,Hombres.00_04.U071,,100k
Total.Total,2020,Mujeres.00_04.U071,,100k
Total.Total,2020,Hombres.00_04.U072,,100k
Total.Total,2020,Mujeres.00_04.U072,,100k
Total.Total,2021,Hombres.00_04.U071,,100k
Total.Total,2021,Mujeres.00_04.U071,,100k
Total.Total,2021,Hombres.00_04.U072,,100k
Total.Total,2021,Mujeres.00_04.U072,,100k
Total.Total,2022,Hombres.00_04.U071,,100k
Total.Total,2022,Mujeres.00_04.U071,,100k
Total.Total,2022,Hombres.00_04.U072,,100k
Total.Total,2022,Mujeres.00_04.U072,,100k
Total.Total,2020,Hombres.05_14.U071,,100k
Total.Total,2020,Mujeres.05_14.U071,,100k
Total.Total,2020,Hombres.05_14.U072,,100k
Total.Total,2020,Mujeres.05_14.U072,,100k
Total.Total,2021,Hombres.05_14.U071,,100k
Total.Total,2021,Mujeres.05_14.U071,,100k
Total.Total,2021,Hombres.05_14.U072,,100k
Total.Total,2021,Mujeres.05_14.U072,,100k
Total.Total,2021,Hombres.05_14.U109,,100k
Total.Total,2021,Mujeres.05_14.U109,,100k
Total.Total,2022,Hombres.05_14.U071,,100k
Total.Total,2022,Mujeres.05_14.U071,,100k
Total.Total,2022,Hombres.05_14.U072,,100k
Total.Total,2022,Mujeres.05_14.U072,,100k
Total.Total,2022,Hombres.05_14.U109,,100k
Total.Total,2016,Hombres.15_24.U069,,100k
Total.Total,2020,Hombres.15_24.U071,,100k
Total.Total,2020,Mujeres.15_24.U071,,100k
Total.Total,2020,Hombres.15_24.U072,,100k
Total.Total,2020,Mujeres.15_24.U072,,100k
Total.Total,2020,Mujeres.15_24.U109,,100k
Total.Total,2021,Hombres.15_24.U071,,100k
Total.Total,2021,Mujeres.15_24.U071,,100k
Total.Total,2021,Hombres.15_24.U072,,100k
Total.Total,2021,Mujeres.15_24.U072,,100k
Total.Total,2021,Hombres.15_24.U109,,100k
Total.Total,2022,Hombres.15_24.U071,,100k
Total.Total,2022,Mujeres.15_24.U071,,100k
Total.Total,2022,Hombres.15_24.U072,,100k
Total.Total,2022,Mujeres.15_24.U072,,100k
Total.Total,2020,Hombres.25_44.U071,,100k
Total.Total,2020,Mujeres.25_44.U071,,100k
Total.Total,2020,Hombres.25_44.U072,,100k
Total.Total,2020,Mujeres.25_44.U072,,100k
Total.Total,2021,Hombres.25_44.U071,,100k
Total.Total,2021,Mujeres.25_44.U071,,100k
Total.Total,2021,Hombres.25_44.U072,,100k
Total.Total,2021,Mujeres.25_44.U072,,100k
Total.Total,2021,Hombres.25_44.U109,,100k
Total.Total,2021,Mujeres.25_44.U109,,100k
Total.Total,2021,Hombres.25_44.U129,,100k
Total.Total,2022,Hombres.25_44.U071,,100k
Total.Total,2022,Mujeres.25_44.U071,,100k
Total.Total,2022,Hombres.25_44.U072,,100k
Total.Total,2022,Mujeres.25_44.U072,,100k
Total.Total,2020,Hombres.45_64.U071,,100k
Total.Total,2020,Mujeres.45_64.U071,,100k
Total.Total,2020,Hombres.45_64.U072,,100k
Total.Total,2020,Mujeres.45_64.U072,,100k
Total.Total,2020,Hombres.45_64.U109,,100k
Total.Total,2020,Mujeres.45_64.U109,,100k
Total.Total,2021,Hombres.45_64.U071,,100k
Total.Total,2021,Mujeres.45_64.U071,,100k
Total.Total,2021,Hombres.45_64.U072,,100k
Total.Total,2021,Mujeres.45_64.U072,,100k
Total.Total,2021,Hombres.45_64.U109,,100k
Total.Total,2021,Mujeres.45_64.U109,,100k
Total.Total,2021,Hombres.45_64.U129,,100k
Total.Total,2022,Hombres.45_64.U071,,100k
Total.Total,2022,Mujeres.45_64.U071,,100k
Total.Total,2022,Hombres.45_64.U072,,100k
Total.Total,2022,Mujeres.45_64.U072,,100k
Total.Total,2022,Hombres.45_64.U109,,100k
Total.Total,2022,Mujeres.45_64.U109,,100k
Total.Total,2020,Hombres.>65.U071,,100k
Total.Total,2020,Mujeres.>65.U071,,100k
Total.Total,2020,Hombres.>65.U072,,100k
Total.Total,2020,Mujeres.>65.U072,,100k
Total.Total,2020,Hombres.>65.U109,,100k
Total.Total,2021,Hombres.>65.U071,,100k
Total.Total,2021,Mujeres.>65.U071,,100k
Total.Total,2021,Hombres.>65.U072,,100k
Total.Total,2021,Mujeres.>65.U072,,100k
Total.Total,2021,Hombres.>65.U109,,100k
Total.Total,2021,Mujeres.>65.U109,,100k
Total.Total,2021,Hombres.>65.U129,,100k
Total.Total,2021,Mujeres.>65.U129,,100k
Total.Total,2022,Hombres.>65.U071,,100k
Total.Total,2022,Mujeres.>65.U071,,100k
Total.Total,2022,Hombres.>65.U072,,100k
Total.Total,2022,Mujeres.>65.U072,,100k
Total.Total,2022,Hombres.>65.U109,,100k
Total.Total,2022,Mujeres.>65.U109,,100k
Tabasco.Total,2016,Total.Total.U,0.0406938629178394,100k
Aguascalientes.Total,2020,Total.Total.U,170.9145531790316,100k
Baja California.Total,2020,Total.Total.U,226.14301262109103,100k
Baja California Sur.Total,2020,Total.Total.U,117.06109545325756,100k
Campeche.Total,2020,Total.Total.U,143.91120678541338,100k
Coahuila de Zaragoza.Total,2020,Total.Total.U,198.12223492568472,100k
Colima.Total,2020,Total.Total.U,121.25025313537616,100k
Chiapas.Total,2020,Total.Total.U,47.08249925353821,100k
Chihuahua.Total,2020,Total.Total.U,193.50322650057728,100k
Ciudad de Mexico.Total,2020,Total.Total.U,420.2183365682982,100k
Durango.Total,2020,Total.Total.U,146.33525165382912,100k
Guanajuato.Total,2020,Total.Total.U,116.40649146820697,100k
Guerrero.Total,2020,Total.Total.U,119.38590907201656,100k
Hidalgo.Total,2020,Total.Total.U,137.14945564658532,100k
Jalisco.Total,2020,Total.Total.U,104.53413697741404,100k
Mexico.Total,2020,Total.Total.U,164.21473979202185,100k
Michoacan de Ocampo.Total,2020,Total.Total.U,79.74466785247485,100k
Morelos.Total,2020,Total.Total.U,136.88456981161983,100k
Nayarit.Total,2020,Total.Total.U,99.80047665204324,100k
Nuevo Leon.Total,2020,Total.Total.U,164.16664572249633,100k
Oaxaca.Total,2020,Total.Total.U,80.58223865133472,100k
Puebla.Total,2020,Total.Total.U,126.67214882811606,100k
Querétaro.Total,2020,Total.Total.U,123.04590599292784,100k
Quintana Roo.Total,2020,Total.Total.U,156.04154685975817,100k
San Luis Potosi.Total,2020,Total.Total.U,139.909327590887,100k
Sinaloa.Total,2020,Total.Total.U,173.94890951678886,100k
Sonora.Total,2020,Total.Total.U,202.94365874243232,100k
Tabasco.Total,2020,Total.Total.U,162.96781813226906,100k
Tamaulipas.Total,2020,Total.Total.U,133.12872780982423,100k
Tlaxcala.Total,2020,Total.Total.U,108.0426170516032,100k
Veracruz de Ignacio de la Llave.Total,2020,Total.Total.U,109.21722154292424,100k
Yucatan.Total,2020,Total.Total.U,139.7017747791375,100k
Zacatecas.Total,2020,Total.Total.U,140.24025069219994,100k
Aguascalientes.Total,2021,Total.Total.U,153.29023593486403,100k
Baja California.Total,2021,Total.Total.U,151.18585643982917,100k
Baja California Sur.Total,2021,Total.Total.U,250.5301080677515,100k
Campeche.Total,2021,Total.Total.U,150.53917804232208,100k
Coahuila de Zaragoza.Total,2021,Total.Total.U,141.66308165036878,100k
Colima.Total,2021,Total.Total.U,211.35284636466835,100k
Chiapas.Total,2021,Total.Total.U,53.62695971956386,100k
Chihuahua.Total,2021,Total.Total.U,104.49612225290409,100k
Ciudad de Mexico.Total,2021,Total.Total.U,469.0561024773132,100k
Durango.Total,2021,Total.Total.U,114.66490362523624,100k
Guanajuato.Total,2021,Total.Total.U,161.05033798280272,100k
Guerrero.Total,2021,Total.Total.U,180.0231290881672,100k
Hidalgo.Total,2021,Total.Total.U,193.1212566337376,100k
Jalisco.Total,2021,Total.Total.U,196.22400982898444,100k
Mexico.Total,2021,Total.Total.U,173.82408847730744,100k
Michoacan de Ocampo.Total,2021,Total.Total.U,190.6015858694213,100k
Morelos.Total,2021,Total.Total.U,288.32734305917535,100k
Nayarit.Total,2021,Total.Total.U,178.77035091815992,100k
Nuevo Leon.Total,2021,Total.Total.U,196.4688717048243,100k
Oaxaca.Total,2021,Total.Total.U,161.51261073084217,100k
Puebla.Total,2021,Total.Total.U,197.7564396878869,100k
Querétaro.Total,2021,Total.Total.U,211.89573608871083,100k
Quintana Roo.Total,2021,Total.Total.U,147.21336399852618,100k
San Luis Potosi.Total,2021,Total.Total.U,156.87674242516127,100k
Sinaloa.Total,2021,Total.Total.U,175.57154257484186,100k
Sonora.Total,2021,Total.Total.U,153.57818199818135,100k
Tabasco.Total,2021,Total.Total.U,122.40071578646112,100k
Tamaulipas.Total,2021,Total.Total.U,136.6444334107054,100k
Tlaxcala.Total,2021,Total.Total.U,157.7161610696896,100k
Veracruz de Ignacio de la Llave.Total,2021,Total.Total.U,137.52160018275669,100k
Yucatan.Total,2021,Total.Total.U,177.67518716535395,100k
Zacatecas.Total,2021,Total.Total.U,121.40095630817127,100k
Aguascalientes.Total,2022,Total.Total.U,47.62684469096564,100k
Baja California.Total,2022,Total.Total.U,44.19916061654491,100k
Baja California Sur.Total,2022,Total.Total.U,52.31924774955564,100k
Campeche.Total,2022,Total.Total.U,18.969767417101632,100k
Coahuila de Zaragoza.Total,2022,Total.Total.U,42.83698936189536,100k
Colima.Total,2022,Total.Total.U,32.75183379371288,100k
Chiapas.Total,2022,Total.Total.U,5.87085476930595,100k
Chihuahua.Total,2022,Total.Total.U,42.39892661730202,100k
Ciudad de Mexico.Total,2022,Total.Total.U,63.10384571816317,100k
Durango.Total,2022,Total.Total.U,33.16040794670754,100k
Guanajuato.Total,2022,Total.Total.U,27.909656741232464,100k
Guerrero.Total,2022,Total.Total.U,21.44126032217328,100k
Hidalgo.Total,2022,Total.Total.U,21.26391304802507,100k
Jalisco.Total,2022,Total.Total.U,36.23440403566072,100k
Mexico.Total,2022,Total.Total.U,18.129172888840376,100k
Michoacan de Ocampo.Total,2022,Total.Total.U,20.699008799737705,100k
Morelos.Total,2022,Total.Total.U,37.16272430101711,100k
Nayarit.Total,2022,Total.Total.U,29.091645483918743,100k
Nuevo Leon.Total,2022,Total.Total.U,38.330950958256416,100k
Oaxaca.Total,2022,Total.Total.U,22.97679964230712,100k
Puebla.Total,2022,Total.Total.U,17.000248831288665,100k
Querétaro.Total,2022,Total.Total.U,39.42752923360514,100k
Quintana Roo.Total,2022,Total.Total.U,19.956495950610176,100k
San Luis Potosi.Total,2022,Total.Total.U,30.98477889950328,100k
Sinaloa.Total,2022,Total.Total.U,26.76367302402679,100k
Sonora.Total,2022,Total.Total.U,38.95904978051374,100k
Tabasco.Total,2022,Total.Total.U,19.98865405921972,100k
Tamaulipas.Total,2022,Total.Total.U,38.72699303777122,100k
Tlaxcala.Total,2022,Total.Total.U,12.971878668277164,100k
Veracruz de Ignacio de la Llave.Total,2022,Total.Total.U,19.063504750067143,100k
Yucatan.Total,2022,Total.Total.U,34.743130434029204,100k
Zacatecas.Total,2022,Total.Total.U,35.10786937267625,100k
Tabasco.Total,2016,Hombres.Total.U,0.0825472087486833,100k
Aguascalientes.Total,2020,Hombres.Total.U,216.2364109284297,100k
Aguascalientes.Total,2020,Mujeres.Total.U,126.92290257843052,100k
Baja California.Total,2020,Hombres.Total.U,275.494080071732,100k
Baja California.Total,2020,Mujeres.Total.U,176.888899149691,100k
Baja California Sur.Total,2020,Hombres.Total.U,140.82372097344398,100k
Baja California Sur.Total,2020,Mujeres.Total.U,92.4975864700798,100k
Campeche.Total,2020,Hombres.Total.U,189.8488487759905,100k
Campeche.Total,2020,Mujeres.Total.U,99.0093139899568,100k
Coahuila de Zaragoza.Total,2020,Hombres.Total.U,237.6952530090313,100k
Coahuila de Zaragoza.Total,2020,Mujeres.Total.U,158.7426540457682,100k
Colima.Total,2020,Hombres.Total.U,150.43826658274872,100k
Colima.Total,2020,Mujeres.Total.U,92.31666645531898,100k
Chiapas.Total,2020,Hombres.Total.U,66.59124177150537,100k
Chiapas.Total,2020,Mujeres.Total.U,28.393802565692702,100k
Chihuahua.Total,2020,Hombres.Total.U,240.09336256485943,100k
Chihuahua.Total,2020,Mujeres.Total.U,147.71387738496364,100k
Ciudad de Mexico.Total,2020,Hombres.Total.U,587.1509793588258,100k
Ciudad de Mexico.Total,2020,Mujeres.Total.U,267.5943781195377,100k
Durango.Total,2020,Hombres.Total.U,180.61467567462023,100k
Durango.Total,2020,Mujeres.Total.U,112.97120606792632,100k
Guanajuato.Total,2020,Hombres.Total.U,150.62705301380862,100k
Guanajuato.Total,2020,Mujeres.Total.U,83.83288329961215,100k
Guerrero.Total,2020,Hombres.Total.U,164.6449881274866,100k
Guerrero.Total,2020,Mujeres.Total.U,76.91198639649056,100k
Hidalgo.Total,2020,Hombres.Total.U,187.8907685416404,100k
Hidalgo.Total,2020,Mujeres.Total.U,89.71100643085607,100k
Jalisco.Total,2020,Hombres.Total.U,136.3175262565596,100k
Jalisco.Total,2020,Mujeres.Total.U,73.6251114403666,100k
Mexico.Total,2020,Hombres.Total.U,223.84864876292468,100k
Mexico.Total,2020,Mujeres.Total.U,107.25238134504136,100k
Michoacan de Ocampo.Total,2020,Hombres.Total.U,104.71989665250084,100k
Michoacan de Ocampo.Total,2020,Mujeres.Total.U,56.10812127744195,100k
Morelos.Total,2020,Hombres.Total.U,191.97709180921268,100k
Morelos.Total,2020,Mujeres.Total.U,84.95894126334136,100k
Nayarit.Total,2020,Hombres.Total.U,129.61792980762218,100k
Nayarit.Total,2020,Mujeres.Total.U,69.99084376988377,100k
Nuevo Leon.Total,2020,Hombres.Total.U,203.888467266575,100k
Nuevo Leon.Total,2020,Mujeres.Total.U,124.47575324223168,100k
Oaxaca.Total,2020,Hombres.Total.U,113.23673013354092,100k
Oaxaca.Total,2020,Mujeres.Total.U,50.44460398201444,100k
Puebla.Total,2020,Hombres.Total.U,172.3899544986048,100k
Puebla.Total,2020,Mujeres.Total.U,84.15808746070796,100k
Querétaro.Total,2020,Hombres.Total.U,160.1121496657214,100k
Querétaro.Total,2020,Mujeres.Total.U,86.98098102429842,100k
Quintana Roo.Total,2020,Hombres.Total.U,206.53862651813367,100k
Quintana Roo.Total,2020,Mujeres.Total.U,104.60496106305816,100k
San Luis Potosi.Total,2020,Hombres.Total.U,176.2598181221682,100k
San Luis Potosi.Total,2020,Mujeres.Total.U,105.24371349443892,100k
Sinaloa.Total,2020,Hombres.Total.U,208.7447072632829,100k
Sinaloa.Total,2020,Mujeres.Total.U,139.58750852352682,100k
Sonora.Total,2020,Hombres.Total.U,240.5984739855353,100k
Sonora.Total,2020,Mujeres.Total.U,165.7118722013483,100k
Tabasco.Total,2020,Hombres.Total.U,206.6983530452084,100k
Tabasco.Total,2020,Mujeres.Total.U,120.54771859230289,100k
Tamaulipas.Total,2020,Hombres.Total.U,162.60252654198257,100k
Tamaulipas.Total,2020,Mujeres.Total.U,104.28342543951888,100k
Tlaxcala.Total,2020,Hombres.Total.U,145.99061021696406,100k
Tlaxcala.Total,2020,Mujeres.Total.U,71.95719324535423,100k
Veracruz de Ignacio de la Llave.Total,2020,Hombres.Total.U,145.82309114075872,100k
